Type,KUKSAT
KU,"Threats and Adversaries (threat actors, malware, natural phenomena)"
KU,Vulnerabilities and Risk management (include backups and recovery)
KU,Common Attacks
KU,Basic Risk Assessment
KU,Security Life-Cycle
KU,Applications of Cryptography and PKI
KU,"Data Security (in transmission, at rest, in processing)"
KU,"Security Models (Bell-La Padula, Biba, Clark Wilson, Brewer Nash, Multi-level security)"
KU,"Access Control Models (MAC, DAC, RBAC, Lattice)"
KU,"Confidentiality, Integrity, Availability, Access, Authentication, Authorization, Non-Repudiation, Privacy"
KU,Session Management
KU,Exception Management
KU,"Security Mechanisms (e.g., Identification/Authentication, Audit)"
KU,Malicious activity detection / forms of attack
KU,Appropriate Countermeasures
KU,Legal issues
KU,Ethics (Ethics associated with cybersecurity profession)
KU,Separation (of domains/duties)
KU,Isolation
KU,Encapsulation
KU,Modularity
KU,Simplicity of design (Economy of Mechanism)
KU,Minimization of implementation (Least Common Mechanism)
KU,Open Design
KU,Complete Mediation
KU,Layering (Defense in depth)
KU,Least Privilege
KU,Fail Safe Defaults / Fail Secure
KU,Least Astonishment (Psychological Acceptability)
KU,Minimize Trust Surface (Reluctance to trust)
KU,Usability
KU,Trust relationships
KU,"Endpoint protection a. Workstations, servers, appliances, mobile devices, peripheral devices (Printers, scanners, external storage)"
KU,Storage Devices
KU,System Architectures a. Virtualization / Containers b. Cloud
KU,"Alternative environments (SCADA, real time systems, critical infrastructures)"
KU,"Networks (Internet, LANs, wireless)"
KU,Network mapping (enumeration and identification of network components)
KU,"Network Security Components (Data Loss Prevention, VPNs / Firewalls)"
KU,"Intrusion Detection and Prevention Systems, Incident Response"
KU,Managed Services
KU,"Software Security (secure coding principles, software issues by type)"
KU,Configuration Management
KU,Patching a. OS and Application Updates
KU,Vulnerability Scanning (core) a. Vulnerability Windows (0-day to patch availability)
KU,People and security (social engineering)
KU,Physical and environmental security concerns
KU,Internet Of Things (IOT)
KU,"Cyber Defense Partnerships (Federal, State, Local, Industry)"
KU,"Common cryptographic uses a. Security Functions (data protection, data integrity, authentication, non-repudiation) b. Block vs. stream data c. Digital Signatures (Authentication)"
KU,"Hash Functions (MD4, MD5, SHA-1, SHA-2, SHA-3) a. Integrity checking b. For protecting authentication data c. Collision resistance"
KU,"Symmetric Cryptography (DES, Twofish)"
KU,"Public Key Cryptography (Diffie-Hellman, RSA, ECC, ElGamal, DSA) a. Public Key Infrastructure b. Certificates c. Key Management (creation, exchange/distribution)"
KU,Cryptography in practice a. Common Cryptographic Protocols b. DES -> AES (evolution from DES to AES) c. Cryptographic Modes (and their strengths and weaknesses) d. Cryptographic standards (FIPS 140 series)
KU,"Cryptographic failures a. Types of Attacks (brute force, chosen plaintext, known plaintext, differential and linear cryptanalysis, etc.) b. Implementation failures"
KU,Networking models (OSI and IP)
KU,"Network media (wired, optical, and wireless)"
KU,"Network Architectures and topologies (PAN, LAN/WAN, DMZ, Enclaves, VLAN, NAT, subnetting, supernetting)"
KU,"Common Network Devices and their role in the network. (Routers, Switches, Hosts, VPNs, Firewalls)"
KU,"Network Protocols introduction (IP, TCP, UDP, ICMP)"
KU,"Network Services and protocols introduction (DNS, NTP, VLAN, etc.)."
KU,"Network Applications and protocols introduction (SMTP, HTTP, VoIP, SSH, etc.)."
KU,Use of basic network administration tools.
KU,Overview of Network Security Issues
KU,Understand basic data structures and algorithms
KU,Be familiar with the concept and basic implementation of regular expressions.
KU,Basic Boolean logic/operations a. AND / OR / XOR / NOT
KU,"Scripting on both Windows and Linux a. Language (e.g. PERL, Python, BASH, JAVA, VB Scripting, Powershell)"
KU,"Implement basic security concepts a. Permissions, bounds checking, input validation, type checking and parameter validation"
